,term,weight
342,said ive lost head,0.0009299890274671052
341,said ive lost,0.0009299890274671052
351,say oh,0.000929525282735155
65,conceited,0.0009262817285537113
66,conceited said,0.0009262817285537113
67,conceited said love,0.0009262817285537113
490,youre conceited said love,0.0009262817285537113
347,said love,0.0009262817285537113
489,youre conceited said,0.0009262817285537113
488,youre conceited,0.0009262817285537113
403,tell just,0.0009249360823539346
404,tell just dont,0.0009249360823539346
87,dont tell just,0.0009249360823539346
88,dont tell just dont,0.0009249360823539346
86,dont tell,0.0009249360823539346
479,yeah yeah yeah,0.0009137943120943971
83,dont regret,0.0009038914290448117
175,im glad,0.0009038914290448117
330,regret im,0.0009038914290448117
331,regret im glad,0.0009038914290448117
84,dont regret im,0.0009038914290448117
85,dont regret im glad,0.0009038914290448117
134,glad,0.0009038914290448117
