,ngram,count
1156,you opiate this hazy,1
1155,and you opiate this,1
1154,"""bye-bye"" and you opiate",1
1153,"say ""bye-bye"" and you",1
1152,"to say ""bye-bye"" and",1
1151,"have to say ""bye-bye""",1
1150,i have to say,1
1149,all i have to,1
1148,that's all i have,1
1147,and that's all i,1
1146,"you"" and that's all",1
1145,"adore you"" and that's",1
1144,"i adore you"" and",1
1161,of mine [chorus] because,1
1162,mine [chorus] because you're,1
1163,yeah you're medicine because,1
1264,all the time [hook],1
1279,1] yeah it's the,1
1278,[verse 1] yeah it's,1
1277,alright [verse 1] yeah,1
1276,alright alright [verse 1],1
1495,house a silver spoon,1
1266,time [hook] yeah so,1
1265,the time [hook] yeah,1
1199,"said ""i'm no fun",1
1164,you're medicine because you're,1
1198,"she said ""i'm no",1
1197,"cool she said ""i'm",1
1196,so cool she said,1
1168,medicine [verse 1] straight,1
1167,my medicine [verse 1],1
1166,you're my medicine [verse,1
1165,medicine because you're my,1
1143,"""i i adore you""",1
1142,"say ""i i adore",1
1141,"i say ""i i",1
1103,and how could i,1
1110,rid me of the,1
1109,you rid me of,1
1108,yeah you rid me,1
1107,refuse? yeah you rid,1
1106,i refuse? yeah you,1
1105,could i refuse? yeah,1
1104,how could i refuse?,1
1102,i and how could,1
1112,of the blues ever,1
1101,and i and how,1
1100,you and i and,1
1099,of you and i,1
1098,state of you and,1
1097,the state of you,1
1096,in the state of,1
1095,even in the state,1
1111,me of the blues,1
1113,the blues ever since,1
1140,"you i say ""i",1
1132,you're medicine [verse 2],1
1139,marry you i say,1
1138,wanna marry you i,1
1137,i wanna marry you,1
1136,i i wanna marry,1
1135,2] i i wanna,1
1134,[verse 2] i i,1
1133,medicine [verse 2] i,1
1131,yeah you're medicine [verse,1
1114,blues ever since you,1
1121,life [chorus] because you're,1
1120,my life [chorus] because,1
1119,into my life [chorus],1
1118,came into my life,1
1117,you came into my,1
1116,since you came into,1
1115,ever since you came,1
1280,yeah it's the way,1
1281,it's the way we,1
1282,the way we are,1
1332,never gets cold because,1
1339,"on his back ""i",1
1338,always on his back,1
1337,sun's always on his,1
1336,the sun's always on,1
1335,because the sun's always,1
1334,cold because the sun's,1
1333,gets cold because the,1
1331,he never gets cold,1
1341,"back ""i used to",1
1330,but he never gets,1
1329,stone but he never,1
1328,of stone but he,1
1327,made of stone but,1
1326,heart made of stone,1
1325,a heart made of,1
1324,got a heart made,1
1340,"his back ""i used",1
1342,"""i used to think",1
1322,attacks he's got a,1
1352,you had a wonderful,1
1359,soon found out you're,1
1358,i soon found out,1
1357,but i soon found,1
1356,vision but i soon,1
1355,wonderful vision but i,1
1354,a wonderful vision but,1
1353,had a wonderful vision,1
1351,believed you had a,1
1343,used to think you,1
1350,i believed you had,1
1349,and i believed you,1
1348,cool and i believed,1
1347,were cool and i,1
1346,you were cool and,1
1345,think you were cool,1
1344,to think you were,1
1323,he's got a heart,1
1321,heart attacks he's got,1
1283,way we are we,1
1292,knocking round town beat,1
1299,my arm we were,1
1298,on my arm we,1
1297,ups on my arm,1
1296,'em ups on my,1
1295,beat 'em ups on,1
1294,town beat 'em ups,1
1293,round town beat 'em,1
1291,and knocking round town,1
1301,we were never good,1
1290,11 and knocking round,1
1289,by 11 and knocking,1
1288,smoking by 11 and,1
1287,were smoking by 11,1
1286,we were smoking by,1
1285,are we were smoking,1
1284,we are we were,1
1300,arm we were never,1
1302,were never good at,1
1320,of heart attacks he's,1
1312,stay with my father,1
1319,die of heart attacks,1
1318,friends die of heart,1
1317,his friends die of,1
1316,while his friends die,1
1315,father while his friends,1
1314,my father while his,1
1313,with my father while,1
1311,i stay with my,1
1303,never good at selling,1
1310,and i stay with,1
1309,down and i stay,1
1308,cut down and i,1
1307,couldn't cut down and,1
1306,selling couldn't cut down,1
1305,at selling couldn't cut,1
1304,good at selling couldn't,1
1494,your house a silver,1
1558,and killing yourself and,1
1496,a silver spoon and,1
1836,same and boy there's,1
1848,chasing dreams man it's,1
1847,try chasing dreams man,1
1846,you try chasing dreams,1
1845,and you try chasing,1
1844,mouth and you try,1
1843,your mouth and you,1
1842,about your mouth and,1
1841,different about your mouth,1
1840,something different about your,1
1839,there's something different about,1
1838,boy there's something different,1
1837,and boy there's something,1
1835,the same and boy,1
1497,silver spoon and a,1
1834,tastes the same and,1
1833,all tastes the same,1
1832,it all tastes the,1
1831,"mind"" it all tastes",1
1830,"don't mind"" it all",1
1829,"i don't mind"" it",1
1828,"house i don't mind""",1
1827,the house i don't,1
1826,on the house i,1
1825,one's on the house,1
1824,this one's on the,1
