ID,StartDate,discrimination,internalized-homophobia,tests-six-months,never-heard-of-prep,self-esteem,,,,,,,,,,,,,,,,
982,17-Apr-2018 19:17:59,3,3.56,0,1,27,,,,,,,,,,,,,,,,
999,21-Apr-2018 07:45:15,4.11,3.56,1,1,25,,,,,,,,,,,,,,,,
1002,21-Apr-2018 11:26:11,3.44,3.56,1,1,28,,,,,,,,,,,,,,,,
1013,21-Apr-2018 09:13:57,4.11,3.56,1,1,29,,,,,,,,,,,,,,,,
605,19-Apr-2018 02:36:53,4,3.5,1,1,26,,,,,,,,,,,,,,,,
6,21-Apr-2018 08:58:13,3.22,3.44,0,0,25,,,,,,,,,,,,,,,,
19,18-Apr-2018 20:25:51,4,3.44,1,0,24,,,,,,,,,,,,,,,,
67,18-Apr-2018 22:17:22,4.33,3.44,1,1,25,,,,,,,,,,,,,,,,
69,21-Apr-2018 09:29:20,2.89,3.44,1,1,22,,,,,,,,,,,,,,,,
262,18-Apr-2018 01:08:44,4.22,3.44,1,0,25,,,,,,,,,,,,,,,,
297,21-Apr-2018 14:29:11,2,3.44,1,1,25,,,,,,,,,,,,,,,,
310,21-Apr-2018 19:37:55,5.33,3.44,1,1,25,,,,,,,,,,,,,,,,
319,17-Apr-2018 19:56:00,3.22,3.44,0,0,27,,,,,,,,,,,,,,,,
325,18-Apr-2018 03:07:43,4.11,3.44,1,1,22,,,,,,,,,,,,,,,,
352,18-Apr-2018 06:16:40,4.11,3.44,1,1,21,,,,,,,,,,,,,,,,
375,18-Apr-2018 10:24:59,5.11,3.44,0,0,23,,,,,,,,,,,,,,,,
473,21-Apr-2018 16:28:36,4.67,3.44,0,1,24,,,,,,,,,,,,,,,,
484,21-Apr-2018 14:17:27,1.22,3.44,0,1,24,,,,,,,,,,,,,,,,
517,21-Apr-2018 20:20:41,1.89,3.44,1,1,28,,,,,,,,,,,,,,,,
572,19-Apr-2018 02:12:34,4.22,3.44,1,1,23,,,,,,,,,,,,,,,,
577,21-Apr-2018 12:54:14,4.11,3.44,1,1,24,,,,,,,,,,,,,,,,
583,19-Apr-2018 03:26:48,4.22,3.44,1,1,23,,,,,,,,,,,,,,,,
650,21-Apr-2018 10:44:24,2.67,3.44,0,1,23,,,,,,,,,,,,,,,,
661,19-Apr-2018 02:53:39,3.89,3.44,1,1,24,,,,,,,,,,,,,,,,
662,21-Apr-2018 09:37:38,2.56,3.44,0,1,26,,,,,,,,,,,,,,,,
687,19-Apr-2018 08:45:43,3.89,3.44,1,1,23,,,,,,,,,,,,,,,,
698,21-Apr-2018 18:20:01,2.67,3.44,1,0,29,,,,,,,,,,,,,,,,
702,21-Apr-2018 13:31:36,3.67,3.44,1,1,25,,,,,,,,,,,,,,,,
707,21-Apr-2018 16:42:56,3.22,3.44,1,1,22,,,,,,,,,,,,,,,,
709,21-Apr-2018 01:33:03,2,3.44,1,1,29,,,,,,,,,,,,,,,,
725,21-Apr-2018 13:23:38,3.89,3.44,0,0,25,,,,,,,,,,,,,,,,
760,19-Apr-2018 01:24:33,4.11,3.44,1,1,23,,,,,,,,,,,,,,,,
776,19-Apr-2018 03:20:41,4.11,3.44,0,1,23,,,,,,,,,,,,,,,,
780,18-Apr-2018 14:36:38,3.67,3.44,0,0,25,,,,,,,,,,,,,,,,
795,18-Apr-2018 18:13:27,2.33,3.44,0,1,31,,,,,,,,,,,,,,,,
802,18-Apr-2018 13:47:42,4.67,3.44,0,1,20,,,,,,,,,,,,,,,,
825,19-Apr-2018 20:32:53,4.33,3.44,1,1,30,,,,,,,,,,,,,,,,
