OID,Country or Area,Year,Description,Magnitude,Value
15661...ZF...,CANADA,1953,GOVERNMENT BOND YIELD > 10 YRS.,PERCENT PER ANNU,3.705
12861A..ZF...,DENMARK,1953,MORTGAGE BOND YIELD,PERCENT PER ANNU,5.5
12861...ZF...,DENMARK,1953,GOVERNMENT BOND YIELD,PERCENT PER ANNU,5.08
13261...ZF...,FRANCE,1953,GOVERNMENT BOND YIELD,PERCENT PER ANNU,6.47616
53461...ZF...,INDIA,1953,GOVERNMENT BOND YIELD,PERCENT PER ANNU,3.64
17861...ZF...,IRELAND,1953,GOVERNMENT BOND YIELD,PERCENT PER ANNU,5.02559
13661B..ZF...,ITALY,1953,GOVT BOND YIELD: MEDIUM-TERM,PERCENT PER ANNU,6.13333
13661...ZF...,ITALY,1953,GOVERNMENT BOND YIELD,PERCENT PER ANNU,5.73922
13861...ZF...,NETHERLANDS,1953,GOVERNMENT BOND YIELD,PERCENT PER ANNU,3.43
19661...ZF...,NEW ZEALAND,1953,GOVERNMENT BOND YIELD,PERCENT PER ANNU,4.03
14261...ZF...,NORWAY,1953,GOVERNMENT BOND YIELD,PERCENT PER ANNU,2.72
56461...ZF...,PAKISTAN,1953,GOVERNMENT BOND YIELD,PERCENT PER ANNU,3.14
18261...ZF...,PORTUGAL,1953,GOVERNMENT BOND YIELD,PERCENT PER ANNU,3.38
19961...ZF...,SOUTH AFRICA,1953,GOVERNMENT BOND YIELD,PERCENT PER ANNU,4.5
14461...ZF...,SWEDEN,1953,GOVERNMENT BOND YIELD,PERCENT PER ANNU,3.27
14661...ZF...,SWITZERLAND,1953,GOVERNMENT BOND YIELD,PERCENT PER ANNU,2.55
11261A..ZF...,UNITED KINGDOM,1953,GOVT BOND YIELD: SHORT-TERM,PERCENT PER ANNU,3.03
11261...ZF...,UNITED KINGDOM,1953,GOVT BOND YIELD: LONG-TERM,PERCENT PER ANNU,3.94
11161A..ZF...,UNITED STATES,1953,GOVT BOND YIELD: 3 YEAR,PERCENT PER ANNU,2.42
19361A..ZF...,AUSTRALIA,1954,TREASURY BONDS: 3 YEARS,PERCENT PER ANNU,3.34
19361...ZF...,AUSTRALIA,1954,TREASURY BONDS: 15 YEARS,PERCENT PER ANNU,4.46
12461...ZF...,BELGIUM,1954,GOVERNMENT BOND YIELD,PERCENT PER ANNU,5.32423
15661A..ZF...,CANADA,1954,GOVT BOND YIELD 3-5 YEARS,PERCENT PER ANNU,2.66833
15661...ZF...,CANADA,1954,GOVERNMENT BOND YIELD > 10 YRS.,PERCENT PER ANNU,3.17583
12861A..ZF...,DENMARK,1954,MORTGAGE BOND YIELD,PERCENT PER ANNU,5.75
12861...ZF...,DENMARK,1954,GOVERNMENT BOND YIELD,PERCENT PER ANNU,5.24
13261...ZF...,FRANCE,1954,GOVERNMENT BOND YIELD,PERCENT PER ANNU,6.44024
53461...ZF...,INDIA,1954,GOVERNMENT BOND YIELD,PERCENT PER ANNU,3.65
17861...ZF...,IRELAND,1954,GOVERNMENT BOND YIELD,PERCENT PER ANNU,4.85002
13661B..ZF...,ITALY,1954,GOVT BOND YIELD: MEDIUM-TERM,PERCENT PER ANNU,6.22
13661...ZF...,ITALY,1954,GOVERNMENT BOND YIELD,PERCENT PER ANNU,5.73922
13861...ZF...,NETHERLANDS,1954,GOVERNMENT BOND YIELD,PERCENT PER ANNU,3.31
19661...ZF...,NEW ZEALAND,1954,GOVERNMENT BOND YIELD,PERCENT PER ANNU,3.98
14261...ZF...,NORWAY,1954,GOVERNMENT BOND YIELD,PERCENT PER ANNU,2.69
56461...ZF...,PAKISTAN,1954,GOVERNMENT BOND YIELD,PERCENT PER ANNU,3.15
18261...ZF...,PORTUGAL,1954,GOVERNMENT BOND YIELD,PERCENT PER ANNU,3.27
19961...ZF...,SOUTH AFRICA,1954,GOVERNMENT BOND YIELD,PERCENT PER ANNU,4.5
14461...ZF...,SWEDEN,1954,GOVERNMENT BOND YIELD,PERCENT PER ANNU,3.24
14661...ZF...,SWITZERLAND,1954,GOVERNMENT BOND YIELD,PERCENT PER ANNU,2.62
11261A..ZF...,UNITED KINGDOM,1954,GOVT BOND YIELD: SHORT-TERM,PERCENT PER ANNU,2.5
11261...ZF...,UNITED KINGDOM,1954,GOVT BOND YIELD: LONG-TERM,PERCENT PER ANNU,3.55
11161A..ZF...,UNITED STATES,1954,GOVT BOND YIELD: 3 YEAR,PERCENT PER ANNU,1.63167
11161...ZF...,UNITED STATES,1954,GOVT BOND YIELD: 10 YEAR,PERCENT PER ANNU,2.40167
19361A..ZF...,AUSTRALIA,1955,TREASURY BONDS: 3 YEARS,PERCENT PER ANNU,3.79
19361...ZF...,AUSTRALIA,1955,TREASURY BONDS: 15 YEARS,PERCENT PER ANNU,4.52
12461...ZF...,BELGIUM,1955,GOVERNMENT BOND YIELD,PERCENT PER ANNU,5.23341
15661A..ZF...,CANADA,1955,GOVT BOND YIELD 3-5 YEARS,PERCENT PER ANNU,2.79083
15661...ZF...,CANADA,1955,GOVERNMENT BOND YIELD > 10 YRS.,PERCENT PER ANNU,3.13667
12861A..ZF...,DENMARK,1955,MORTGAGE BOND YIELD,PERCENT PER ANNU,6.25
12861...ZF...,DENMARK,1955,GOVERNMENT BOND YIELD,PERCENT PER ANNU,5.55
13261...ZF...,FRANCE,1955,GOVERNMENT BOND YIELD,PERCENT PER ANNU,6.23674
53461...ZF...,INDIA,1955,GOVERNMENT BOND YIELD,PERCENT PER ANNU,3.72
17861...ZF...,IRELAND,1955,GOVERNMENT BOND YIELD,PERCENT PER ANNU,4.90489
13661B..ZF...,ITALY,1955,GOVT BOND YIELD: MEDIUM-TERM,PERCENT PER ANNU,6.4
13661...ZF...,ITALY,1955,GOVERNMENT BOND YIELD,PERCENT PER ANNU,5.87181
13861...ZF...,NETHERLANDS,1955,GOVERNMENT BOND YIELD,PERCENT PER ANNU,3.26
19661...ZF...,NEW ZEALAND,1955,GOVERNMENT BOND YIELD,PERCENT PER ANNU,4.15
14261...ZF...,NORWAY,1955,GOVERNMENT BOND YIELD,PERCENT PER ANNU,2.99
56461...ZF...,PAKISTAN,1955,GOVERNMENT BOND YIELD,PERCENT PER ANNU,3.15
18261...ZF...,PORTUGAL,1955,GOVERNMENT BOND YIELD,PERCENT PER ANNU,3.18
19961...ZF...,SOUTH AFRICA,1955,GOVERNMENT BOND YIELD,PERCENT PER ANNU,4.4
14461...ZF...,SWEDEN,1955,GOVERNMENT BOND YIELD,PERCENT PER ANNU,3.7
14661...ZF...,SWITZERLAND,1955,GOVERNMENT BOND YIELD,PERCENT PER ANNU,2.97
11261A..ZF...,UNITED KINGDOM,1955,GOVT BOND YIELD: SHORT-TERM,PERCENT PER ANNU,3.8
11261...ZF...,UNITED KINGDOM,1955,GOVT BOND YIELD: LONG-TERM,PERCENT PER ANNU,4.32
11161A..ZF...,UNITED STATES,1955,GOVT BOND YIELD: 3 YEAR,PERCENT PER ANNU,2.47083
11161...ZF...,UNITED STATES,1955,GOVT BOND YIELD: 10 YEAR,PERCENT PER ANNU,2.81667
19361A..ZF...,AUSTRALIA,1956,TREASURY BONDS: 3 YEARS,PERCENT PER ANNU,4.71
19361...ZF...,AUSTRALIA,1956,TREASURY BONDS: 15 YEARS,PERCENT PER ANNU,5.03
12461...ZF...,BELGIUM,1956,GOVERNMENT BOND YIELD,PERCENT PER ANNU,5.31288
15661A..ZF...,CANADA,1956,GOVT BOND YIELD 3-5 YEARS,PERCENT PER ANNU,3.7575
15661...ZF...,CANADA,1956,GOVERNMENT BOND YIELD > 10 YRS.,PERCENT PER ANNU,3.625
12861A..ZF...,DENMARK,1956,MORTGAGE BOND YIELD,PERCENT PER ANNU,6.42
12861...ZF...,DENMARK,1956,GOVERNMENT BOND YIELD,PERCENT PER ANNU,5.71
13261...ZF...,FRANCE,1956,GOVERNMENT BOND YIELD,PERCENT PER ANNU,6.44024
13461...ZF...,GERMANY,1956,GOVERNMENT BOND YIELD,PERCENT PER ANNU,6.8885
53461...ZF...,INDIA,1956,GOVERNMENT BOND YIELD,PERCENT PER ANNU,3.92
17861...ZF...,IRELAND,1956,GOVERNMENT BOND YIELD,PERCENT PER ANNU,5.80467
13661B..ZF...,ITALY,1956,GOVT BOND YIELD: MEDIUM-TERM,PERCENT PER ANNU,6.92583
13661...ZF...,ITALY,1956,GOVERNMENT BOND YIELD,PERCENT PER ANNU,6.38323
13861...ZF...,NETHERLANDS,1956,GOVERNMENT BOND YIELD,PERCENT PER ANNU,3.84
19661...ZF...,NEW ZEALAND,1956,GOVERNMENT BOND YIELD,PERCENT PER ANNU,4.65
14261...ZF...,NORWAY,1956,GOVERNMENT BOND YIELD,PERCENT PER ANNU,4.31
56461...ZF...,PAKISTAN,1956,GOVERNMENT BOND YIELD,PERCENT PER ANNU,3.19
18261...ZF...,PORTUGAL,1956,GOVERNMENT BOND YIELD,PERCENT PER ANNU,3.03
19961...ZF...,SOUTH AFRICA,1956,GOVERNMENT BOND YIELD,PERCENT PER ANNU,4.74
14461...ZF...,SWEDEN,1956,GOVERNMENT BOND YIELD,PERCENT PER ANNU,3.75
14661...ZF...,SWITZERLAND,1956,GOVERNMENT BOND YIELD,PERCENT PER ANNU,3.11
11261A..ZF...,UNITED KINGDOM,1956,GOVT BOND YIELD: SHORT-TERM,PERCENT PER ANNU,4.68
11261...ZF...,UNITED KINGDOM,1956,GOVT BOND YIELD: LONG-TERM,PERCENT PER ANNU,5.16
11161A..ZF...,UNITED STATES,1956,GOVT BOND YIELD: 3 YEAR,PERCENT PER ANNU,3.18667
11161...ZF...,UNITED STATES,1956,GOVT BOND YIELD: 10 YEAR,PERCENT PER ANNU,3.1825
19361A..ZF...,AUSTRALIA,1957,TREASURY BONDS: 3 YEARS,PERCENT PER ANNU,4.57
19361...ZF...,AUSTRALIA,1957,TREASURY BONDS: 15 YEARS,PERCENT PER ANNU,5.02
12461...ZF...,BELGIUM,1957,GOVERNMENT BOND YIELD,PERCENT PER ANNU,6.80003
15661A..ZF...,CANADA,1957,GOVT BOND YIELD 3-5 YEARS,PERCENT PER ANNU,4.565
15661...ZF...,CANADA,1957,GOVERNMENT BOND YIELD > 10 YRS.,PERCENT PER ANNU,4.11083
12861A..ZF...,DENMARK,1957,MORTGAGE BOND YIELD,PERCENT PER ANNU,6.5
12861...ZF...,DENMARK,1957,GOVERNMENT BOND YIELD,PERCENT PER ANNU,5.77
13261...ZF...,FRANCE,1957,GOVERNMENT BOND YIELD,PERCENT PER ANNU,7.07469
